Organization Name,Mission Statement,Website Link 
Ronald McDonald House Charities of Northwest Ohio,"Ronald McDonald House Charities of Northwest Ohio is committed to enriching the lives of children by providing comfort, care, and support to families in Northwest Ohio, Southeast Michigan, and beyond.",http://www.rmhctoledo.org
UPPER VALLEY MEDICAL CENTER,"We will build healthier communities with others who share our commitment to provide high-quality, cost-competitive health care services. At Premier Health, our mission, vision and values aren't just words, they're the road map that helps us lead with...",https://www.uvmc.com/
Columbus City Young Life,Our mission: To introduce adolescents to Jesus Christ and help them grow in their faith. Our vision: To provide every student in the Columbus City Schools the opportunity to hear and respond to the good news of Jesus Christ.,https://columbuscity.younglife.org
Brookside High School,"Our mission is to promote STEM concepts as well as lifelong skills including teamwork, leadership, and communications, to Brookside students, through robotics competitions.",http://smartrobotics.weebly.com/
DANIEL WRIGHT ELEMENTARY PTO,"Helping the Scouts learn character development, spiritual growth, good Citizenship, sportsmanship and fitness, family understanding, respectful relationships, Personal Achievement, friendly service, fun and adventure, and preparation to be a boy scou...",n/a
United Way of Central Ohio,To improve lives by mobilizing the caring power of our community.,http://liveunitedcentralohio.org
The PAST Foundation,"By Partnering Anthropology with Science and Technology, we invite the world to design, construct, and engage in experiences that link learning to life.",http://www.pastfoundation.org
PetPromise,"PetPromise is dedicated to increasing community and individual awareness of the responsibilities of pet ownership and to providing interim care and adoption services for abandoned, abused and homeless cats and dogs. PetPromise's foster care program, ...",http://petpromise.org
Canton Palace Theatre,"The Canton Palace Theatre Association maintains the architectural integrity of its historic Theatre and partners with others to present cultural, entertainment, and educational experiences for the community.",n/a
WOMENS BOARD OF PILOT DOGS,"The Women’s Board of Pilot Dogs supports Pilot Dogs, Inc. in its efforts to acquire and train dogs to be paired with blind or visually impaired individuals at no cost.",http://womensboardofpilotdogs.net
Reaching Heights,Our mission at Reaching Heights is to mobilize community resources to foster highly valued public schools that provide all Cleveland Heights-University Heights (CHUH) students a successful education.,http://reachingheights.org
Nationwide Children's Hospital Foundation,"Nationwide Children's believes that no child should be refused necessary care and attention for lack of ability to pay. Upon this fundamental belief, Nationwide Children's is commited to providing the highest quality: patient care, advocacy for child...",http://www.NationwideChildrens.org
LYDIAS HOUSE INC,"Our mission is to provide safe, stable and supportive housing to women and children in transition and crisis.",http://www.stlydiashouse.org
MedWish International,MedWish International is a non-profit organization committed to the recovery and recycling of usable medical supplies area healthcare providers must discard. These life-saving supplies are made available to those providing medical care in developing ...,http://www.medwish.org
LUTHERAN SOCIAL SERVICES OF NORTHWESTERN OH,"In response to God’s love for all persons Lutheran Social Services of Northwestern Ohio provides human services that will strengthen the mental, moral, physical, social and spiritual well-being of those who seek this agency’s services.",http://www.lssnwo.org
SAVE CATS AND OBLITERATE OVERPOPULATION,SCOOP is dedicated to helping reduce suffering and overpopulation among stray and feral cats through non-lethal methods.,http://www.scoopcat.org
OPEN DOORS INC,"Open Doors Academy works to protect, inspire, nurture and challenge adolescents to reach their full potential.",http://opendoorsacademy.org
CBUSGIVESBACK,To provide social volunteer and philanthropic opportunities for young professionals and create a culture of community engagement to connect people to central Ohio.,http://www.columbusgivesback.org
M.A.S.H. Pantry and Resource Center,"We promote deep self- confidence and self-sufficiency throughout our Central Ohio Veteran and Armed Forced community by offering nutritious foods, education, mentoring, advocacy and programming resources and services. MOTTO: ""NO Veteran, Military fam...",http://www.mashpantry.org
Cleveland Sight Center,Our mission is to empower people who are blind or who have limited vision to realize their full potential and to shape the community's vision of that potential.,http://www.clevelandsightcenter.org
Cleveland Dept. of Public Health,"We are committed to improving the quality of life in the City of Cleveland by strengthening our neighborhoods, delivering superior services, embracing the diversity of our citizens, and making Cleveland a desirable, safe city in which to live, work, ...",http://www.clevelandhealth.org
Arthritis Foundation - Northeastern Ohio,"The Arthritis Foundation is the Champion of Yes. Leading the fight for the arthritis community, the Arthritis Foundation helps conquer everyday battles through life-changing information and resources, access to optimal care, advancements in science a...",http://www.arthritis.org
